Hospital	Type_of_variable	Variable	Transformation_chosen_by_bestNormalize
Leoben	Metabolite	Fumaric_acid	orderNorm
Leoben	Metabolite	Deoxyuridine	log_x
Leoben	Metabolite	Dihydroxybenzeneacetic_acid	log_x
Leoben	Metabolite	L_Tyrosine	boxcox
Leoben	Metabolite	Gallic_acid	sqrt_x
Leoben	Metabolite	L_Histidine	orderNorm
Leoben	Metabolite	p_Cresol	log_x
Leoben	Metabolite	L_Phenylalanine	orderNorm
Leoben	Metabolite	L_Tryptophan	log_x
Leoben	Metabolite	Xanthine	log_x
Leoben	Metabolite	Hypoxanthine	log_x
Leoben	Metabolite	Formic_acid	sqrt_x
Leoben	Metabolite	Nicotinic_acid	orderNorm
Leoben	Metabolite	Two_FL	arcsinh_x
Leoben	Metabolite	Three_SL	arcsinh_x
Leoben	Metabolite	Six_SL	orderNorm
Leoben	Metabolite	LDNDFH	orderNorm
Leoben	Metabolite	LNFP1	arcsinh_x
Leoben	Metabolite	LNFP3	arcsinh_x
Leoben	Metabolite	LNnT	arcsinh_x
Leoben	Metabolite	LNT	orderNorm
Leoben	Metabolite	Three_FL	orderNorm
Leoben	Metabolite	LDFT	orderNorm
Leoben	Metabolite	LSTa	orderNorm
Leoben	Metabolite	LSTb	arcsinh_x
Leoben	Metabolite	LSTc	arcsinh_x
Leoben	Metabolite	Methyl	boxcox
